setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev
0,mi_concept,0.01,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.24289458432086522,316.80526097747395,366.7398157731209,383.39413556048464,4.260416666666667,3.6354166666666665,2.114583333333333,2.7583333333333333
0,mi_concept,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.20427387144563403,324.78504087437767,380.9131561350405,480.7296924754977,3.0,2.375,1.5729166666666667,1.9197916666666668
0,mi_concept,0.1,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.06429128619084376,352.1961024528013,392.4815931445896,453.68209348187685,1.90625,1.9270833333333333,1.3333333333333333,1.4604166666666667
0,mi_concept,0.3162277660168379,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,7.194942155339381e-09,364.0945742219499,368.7706555758176,0.29113793417026584,1.3541666666666667,1.3645833333333333,1.1041666666666667,1.2125
0,surprisal_b,0.01,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,,,,,80.0,80.0,80.0,80.0
0,surprisal_b,0.0273841963426436,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.005385421850424176,363.11285055528543,373.38822913191285,9.257132333685933,62.59375,68.94791666666667,66.03125,67.03020833333333
0,surprisal_b,0.0749894209332455,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.14879129420781345,335.91719642785534,374.4933721393042,31.260273468155486,55.958333333333336,44.65625,48.270833333333336,49.02916666666666
0,surprisal_b,0.2053525026457146,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.11832664401506252,341.87556938397836,368.14104444243793,57.72150620116544,32.875,29.260416666666668,25.135416666666668,27.515625
0,surprisal_b,0.5623413251903491,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.20123860177965028,325.4038919157193,331.09367714721793,118.77143402071209,10.84375,12.34375,8.708333333333334,10.891666666666666
0,surprisal_b,1.539926526059492,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.1315099258984682,339.30998368056635,380.28714850572624,252.8957680037884,5.979166666666667,4.229166666666667,4.125,4.642708333333333
0,surprisal_b,4.216965034285822,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.3170970976033913,300.8802545916401,324.4704803246253,902.2861968044318,2.7291666666666665,2.625,2.239583333333333,2.3822916666666667
0,surprisal_b,11.547819846894582,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.20743548163645786,324.13917437370344,341.8043192829205,1500.6921916393396,1.7916666666666667,1.5208333333333333,1.40625,1.5572916666666667
0,surprisal_b,31.622776601683796,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.062149989357347765,352.5988589002361,360.0215822660704,2027.214741032465,1.1875,1.2395833333333333,1.1145833333333333,1.1989583333333331
1,eig_code,3.162277660168379e-06,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,,,,,80.0,80.0,80.0,80.0
1,eig_code,1e-05,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.04770766587884062,355.3033913246038,387.5205376858724,37.35404165785773,80.0,78.5625,74.34375,76.48020833333334
1,eig_code,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.05674550837721855,353.61334754486114,384.5354671999783,19.861862827177003,78.66666666666667,75.83333333333333,65.47916666666667,68.57708333333332
1,eig_code,0.0001,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.1859088622778545,328.5116096026768,377.62332396677687,23.57604333442853,74.625,65.08333333333333,49.614583333333336,56.252083333333324
1,eig_code,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.21377382108532633,322.8404610367597,376.90406112630245,17.73305199093186,69.51041666666667,47.8125,29.916666666666668,38.43541666666666
1,eig_code,0.001,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.19504633944230793,326.66277606012454,381.6158245676539,19.945682041256777,53.40625,31.6875,17.145833333333332,22.225
1,eig_code,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.19353537952145217,326.96921789914353,378.24989673167227,33.48979734399584,32.427083333333336,17.822916666666668,10.208333333333334,13.242708333333335
1,eig_code,0.01,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.2120542490870563,323.19331382861355,378.20527719283876,51.22838061006754,20.70833333333333,12.197916666666666,5.6875,7.720833333333334
1,eig_code,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.24050495241478967,317.3048291500185,370.72217777651485,84.31541987244309,13.458333333333334,6.572916666666667,3.59375,4.586458333333333
1,kl,3.162277660168379e-06,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.0655102239095785,351.9666266494518,376.29055602102113,29.263926386749965,79.48958333333333,78.35416666666667,69.58333333333333,74.803125
1,kl,1e-05,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.13480983736075602,338.66474975190596,386.25773935617923,25.612675872126776,79.04166666666667,74.30208333333333,58.22916666666666,67.20104166666667
1,kl,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.14109270633897036,337.4328452869625,387.7072744565027,15.352807759301617,73.70833333333333,63.71875,41.5,50.729166666666664
1,kl,0.0001,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.21169178909450903,323.2676407586498,379.1240985829627,17.713967232955717,66.84375,48.41666666666666,25.510416666666668,34.271875
1,kl,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.23246078092484268,318.98076598558976,372.52614302341345,23.23014258456022,48.72916666666666,31.8125,16.125,21.310416666666665
1,kl,0.001,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.2354007574693159,318.3692690727751,376.4691319028764,34.88529517015079,31.885416666666668,19.02083333333333,9.354166666666666,12.636458333333334
1,kl,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.3298063073927351,298.0673296212849,314.7737149158217,66.74591668449774,20.510416666666668,11.364583333333334,5.875,8.353125
1,kl,0.01,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.20038097272864627,325.5785379120018,379.9297132368034,92.64156407589705,11.166666666666666,8.0625,3.9270833333333335,5.095833333333333
1,kl,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.2,exemplar_mean,0.2070730358261152,324.2132815628426,381.06454472653604,144.2002272838795,7.354166666666667,4.729166666666667,2.114583333333333,3.154166666666667
