setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,cond_r2,cond_rmse,n_cond,cond_b,bg1,bg2,bg11,dev1,dev5,dev10
7,mi_concept,0.3162277660168379,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.206537604290539,407.29263902803655,75,-2031.9116510055026,1.0625,1.1145833333333333,1.1354166666666667,1.1770833333333333,1.3645833333333333,1.1875
7,mi_concept,1.0,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.22205947413986254,407.29263902803655,75,-4271.125472895784,1.0,1.03125,1.1875,1.0729166666666667,1.0729166666666667,1.0833333333333333
7,mi_concept,3.1622776601683795,3.0,1.0,0.01,,1.0,True,0.2,exemplar_mean,0.007064985958015536,407.29263902803655,75,-1899.5023838757045,1.0,1.0,1.0520833333333333,1.0208333333333333,1.0104166666666667,1.0520833333333333
8,mi_concept,3.1622776601683795e-05,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.6663384945669075,233.45692888851676,75,161.21904479346162,29.08333333333333,26.20833333333333,22.885416666666668,28.0,29.541666666666668,29.229166666666668
8,mi_concept,0.0001,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.7395244861716249,207.79693795484596,75,193.07941588660145,20.479166666666668,18.03125,14.770833333333334,18.70833333333333,19.947916666666668,19.17708333333333
8,mi_concept,0.0003162277660168,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.6491009933233165,242.9966532641446,75,262.7693358062894,14.1875,12.416666666666666,10.625,12.052083333333334,11.614583333333334,12.354166666666666
8,mi_concept,0.001,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.6671877617910206,236.38398962195205,75,374.83477774587345,9.489583333333334,8.083333333333334,6.072916666666667,8.947916666666666,7.770833333333333,7.416666666666667
8,mi_concept,0.0031622776601683,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.4072680892294223,320.44072326354984,75,461.90343326189947,5.802083333333333,5.5625,4.260416666666667,5.416666666666667,5.40625,5.010416666666667
8,mi_concept,0.01,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.10734206097291607,385.2877158987527,75,355.02230225281716,3.5625,3.6145833333333335,2.7291666666666665,3.90625,3.0729166666666665,2.65625
8,mi_concept,0.0316227766016837,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.12854639290642375,379.47636349109365,75,755.2828471250707,2.3125,2.15625,1.8958333333333333,2.458333333333333,2.208333333333333,1.90625
8,mi_concept,0.1,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.09865438749079423,395.6209290307792,75,966.0736750798326,1.6666666666666667,1.75,1.3854166666666667,1.53125,1.4791666666666667,1.4583333333333333
8,mi_concept,0.3162277660168379,3.0,1.0,0.03,,0.5,True,0.1,exemplar_mean,0.06985579624068722,397.3646599127076,75,2162.8694036588868,1.2604166666666667,1.2604166666666667,1.15625,1.1666666666666667,1.21875,1.1666666666666667
