V,alpha,beta,eps,w,r2,rmse,ani_id
1.0,3.0,0.1,0.7,0.006579332246575682,0.4583815477452582,1.5744575197190072,1.069664796388453
1.0,3.0,0.1,0.7,0.011103363181676379,0.45792369443464315,1.5751228573782738,1.0434127561229432
1.0,3.0,0.1,0.7,0.01873817422860383,0.45764000062126725,1.575534971093582,1.0265343819957258
1.0,3.0,0.1,0.7,0.03162277660168379,0.45746719790358364,1.5757859437339612,1.0160214925957411
1.0,3.0,0.1,1.0,0.0001,0.48434343476610686,1.5362592021466743,1.3655330675066988
1.0,3.0,0.1,1.0,0.0001687612475788147,0.48125289282155614,1.540856041468389,1.3176739334450767
1.0,3.0,0.1,1.0,0.0002848035868435802,0.4787501861950079,1.5445685157597917,1.2554481095585392
1.0,3.0,0.1,1.0,0.0004806380863064389,0.4768511367972242,1.547379591249112,1.190104679965087
1.0,3.0,0.1,1.0,0.0008111308307896872,0.4754978889308934,1.549379629744415,1.1321710871300663
1.0,3.0,0.1,1.0,0.0013688745095370807,0.47458468658848163,1.5507278433636937,1.0871121521998808
1.0,3.0,0.1,1.0,0.002310129700083158,0.47399425921436716,1.5515989019995273,1.0552554889975765
1.0,3.0,0.1,1.0,0.003898603702549072,0.4736241667771268,1.552144650841924,1.0341586103127758
1.0,3.0,0.1,1.0,0.006579332246575682,0.4733970106376556,1.552479526736758,1.0207712984846418
1.0,3.0,0.1,1.0,0.011103363181676379,0.4732594700632612,1.5526822553476405,1.0125018067368945
1.0,3.0,0.1,1.0,0.01873817422860383,0.47317689737913843,1.5528039510497533,1.0074776228147444
1.0,3.0,0.1,1.0,0.03162277660168379,0.47312758310993275,1.5528766259189672,1.004455687611625
1.0,3.0,1.0,0.2,0.0001,0.4177312831277044,1.6324727871135454,1.1259563220962134
1.0,3.0,1.0,0.2,0.0001687612475788147,0.41807727770771613,1.631987692643855,1.1247507702257298
1.0,3.0,1.0,0.2,0.0002848035868435802,0.41842424171158116,1.63150109417376,1.1228758207848342
1.0,3.0,1.0,0.2,0.0004806380863064389,0.4186742964672344,1.6311503157383973,1.1200398911787117
1.0,3.0,1.0,0.2,0.0008111308307896872,0.41867192026672856,1.6311536494429126,1.1150231095497007
1.0,3.0,1.0,0.2,0.0013688745095370807,0.4183762343949257,1.6315684305200988,1.1055068719641448
1.0,3.0,1.0,0.2,0.002310129700083158,0.41790840702952636,1.6322244722597563,1.090158295373113
1.0,3.0,1.0,0.2,0.003898603702549072,0.41742620492886245,1.6329003960718986,1.0707627058596816
1.0,3.0,1.0,0.2,0.006579332246575682,0.4170257614347963,1.6334615026811805,1.051201399011789
1.0,3.0,1.0,0.2,0.011103363181676379,0.41673349737348286,1.6338709052258125,1.034676760215355
1.0,3.0,1.0,0.2,0.01873817422860383,0.4165366719449335,1.6341465598485525,1.022383772181603
1.0,3.0,1.0,0.2,0.03162277660168379,0.41641060101193667,1.634323098153516,1.0139887773790948
1.0,3.0,1.0,0.3,0.0001,0.42465513404056754,1.622737762211626,1.1199523799247906
1.0,3.0,1.0,0.3,0.0001687612475788147,0.4251433636041049,1.6220490998591799,1.1186897285092723
1.0,3.0,1.0,0.3,0.0002848035868435802,0.42562820320572586,1.6213649296844213,1.1167183157107994
1.0,3.0,1.0,0.3,0.0004806380863064389,0.42606992016266637,1.6207413596083347,1.113698318985331
1.0,3.0,1.0,0.3,0.0008111308307896872,0.42636919441867294,1.6203187389533062,1.1090781448280287
1.0,3.0,1.0,0.3,0.0013688745095370807,0.42638917292204065,1.6202905223504556,1.1017746751168198
1.0,3.0,1.0,0.3,0.002310129700083158,0.42610208084170076,1.6206959491352466,1.0903951361654498
1.0,3.0,1.0,0.3,0.003898603702549072,0.42563671273950854,1.6213529190748954,1.0747785624018442
1.0,3.0,1.0,0.3,0.006579332246575682,0.42515695630596234,1.6220299227646195,1.057060558602953
1.0,3.0,1.0,0.3,0.011103363181676379,0.42476084168346456,1.6225886832211016,1.040396142016941
1.0,3.0,1.0,0.3,0.01873817422860383,0.42447365884916843,1.6229936638849884,1.0269387315988576
1.0,3.0,1.0,0.3,0.03162277660168379,0.4242813295358373,1.623264827131961,1.0172106585397884
1.0,3.0,1.0,0.4,0.0001,0.430380098126593,1.6146440587970345,1.1160996317482053
1.0,3.0,1.0,0.4,0.0001687612475788147,0.43083195328630386,1.6140035176297676,1.1149473084373898
1.0,3.0,1.0,0.4,0.0002848035868435802,0.4312533825949589,1.6134058783690952,1.1130310684749096
1.0,3.0,1.0,0.4,0.0004806380863064389,0.43160052664309523,1.6129134185275233,1.1099185311056594
1.0,3.0,1.0,0.4,0.0008111308307896872,0.4318007609865016,1.6126292969524514,1.104959915799094
1.0,3.0,1.0,0.4,0.0013688745095370807,0.43175974688021374,1.6126874978011492,1.0972200195823067
1.0,3.0,1.0,0.4,0.002310129700083158,0.43145025748245913,1.613126609373044,1.0857512829585276
