world,channel,test_type,t,y,lo,hi
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,13,0.00022880537557830316,0.0002259861997862558,0.00023162455137035052
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,13,0.0005422719844549195,0.0005395583647278324,0.0005449856041820065
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,13,0.0005422719844491314,0.0005395583647220911,0.0005449856041761717
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,13,0.0006391577512531508,0.0006076116922258615,0.0006707038102804402
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,13,0.0019858219074454543,0.0019790581677544996,0.001992585647136409
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,14,0.0002731122600002636,0.0002727943203902335,0.0002734301996102937
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,14,0.00019916156036300461,0.00019696077077315245,0.00020136234995285677
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,14,0.0004722738203632682,0.0004701492115259633,0.0004743984292005731
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,14,0.0004722738203567049,0.00047014921151943847,0.0004743984291939714
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,14,0.000560451092957948,0.000536570411312082,0.0005843317746038139
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,14,0.0017409342608716277,0.0017356419450673586,0.0017462265766758967
"2. noisy world (.1), eps fixed .1",I_mu (concept mean),deviant,15,0.00024008920648277584,0.00023981310088965182,0.00024036531207589985
"2. noisy world (.1), eps fixed .1",I_sigma (spread & noise),deviant,15,0.0001748024873462865,0.00017289137731448063,0.0001767135973780924
"2. noisy world (.1), eps fixed .1",total (true EIG),deviant,15,0.00041489169382906237,0.00041303818361277734,0.0004167452040453474
"2. noisy world (.1), eps fixed .1",concept EIG (eps nuisance),deviant,15,0.0004148916938222953,0.00041303818360604043,0.0004167452040385502
"2. noisy world (.1), eps fixed .1",KL (realized),deviant,15,0.00045169914132016603,0.00043308873848492164,0.00047030954415541043
"2. noisy world (.1), eps fixed .1",implemented EIG,deviant,15,0.0015388202146342784,0.0015344906910553459,0.001543149738213211
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,1,0.016398906055341157,0.01633286322792662,0.01646494888275569
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,1,0.055382792952434555,0.054077037590522965,0.056688548314346145
"3. noisy world (.1), eps inferred",total (true EIG),background,1,0.0717816990077757,0.07048401848376387,0.07307937953178753
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,1,0.025109920672474067,0.024877615512553016,0.025342225832395118
"3. noisy world (.1), eps inferred",KL (realized),background,1,0.0607187214060233,0.05959935192563174,0.06183809088641486
"3. noisy world (.1), eps inferred",implemented EIG,background,1,0.1814469172610526,0.17838146197589108,0.18451237254621414
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,2,0.007187606284518054,0.007151101527590549,0.007224111041445559
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,2,0.05357080715953565,0.05224942419219742,0.05489219012687387
"3. noisy world (.1), eps inferred",total (true EIG),background,2,0.06075841344405371,0.059433794734973254,0.06208303215313416
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,2,0.00991270784885229,0.00981274162220182,0.010012674075502761
"3. noisy world (.1), eps inferred",KL (realized),background,2,0.0650754753941754,0.05684879453746197,0.07330215625088882
"3. noisy world (.1), eps inferred",implemented EIG,background,2,0.14993088508392388,0.14680183159055799,0.15305993857728978
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,3,0.004060642266515485,0.004035874153052243,0.004085410379978727
"3. noisy world (.1), eps inferred",I_sigma (spread & noise),background,3,0.05359049907582733,0.05230438198834787,0.05487661616330679
"3. noisy world (.1), eps inferred",total (true EIG),background,3,0.05765114134234282,0.05636443422679497,0.058937848457890664
"3. noisy world (.1), eps inferred",concept EIG (eps nuisance),background,3,0.005364451165754478,0.0053111803821733385,0.005417721949335617
"3. noisy world (.1), eps inferred",KL (realized),background,3,0.06136495910816452,0.05535022302208582,0.06737969519424322
"3. noisy world (.1), eps inferred",implemented EIG,background,3,0.13681658494385046,0.1338257757160309,0.13980739417167
"3. noisy world (.1), eps inferred",I_mu (concept mean),background,4,0.002611924944612101,0.0025952686834652813,0.002628581205758921
